Player 1:,Officer,,,,,,,,,,,Player 1:,Citizen,,,,,,,,,,
Player 2: ,Citizen,,,,,,,,,,,Player 2: ,Officer,,,,,,,,,,
Scale Label:,WTR,,,,,,,,,,,Scale Label:,eWTR,,,,,,,,,,
Number of Choices,11,,,,,,,,,,,Number of Choices,11,,,,,,,,,,
Choice #,1,2,3,4,5,6,7,8,9,10,11,Choice #,1,2,3,4,5,6,7,8,9,10,11
ChoosePlayer1- Player1Gets,7.2,5.05,22.5,10.4,16.95,32.65,49.45,10.15,58.85,36.7,69.2,ChoosePlayer1- Player1Gets,7.2,5.05,22.5,10.4,16.95,32.65,49.45,10.15,58.85,36.7,69.2
ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0
ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0
ChoosePlayer2- Player2Gets,71.98,24.9,75,26.05,33.9,54.35,70.6,12.7,65.35,36.7,62.9,ChoosePlayer2- Player2Gets,71.98,24.9,75,26.05,33.9,54.35,70.6,12.7,65.35,36.7,62.9
,,,,,,,,,,,,,0.100027785,0.202811245,0.3,0.399232246,0.5,0.600735971,0.700424929,0.799212598,0.900535578,1,1.100158983
Subject,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,1,2,2,1,2,2,2,1,,1,2,1,2,2,1,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
3,2,2,2,2,2,2,2,2,2,2,1,,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,2,1,2,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
6,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
7,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
8,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2
9,2,2,2,2,2,2,2,2,1,1,1,,2,2,2,2,2,1,2,1,1,1,2
10,2,2,1,2,2,2,2,2,2,1,2,,1,1,1,1,1,1,1,1,1,1,1
11,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2
12,2,1,1,2,1,1,2,2,2,2,2,,2,2,2,1,2,1,1,1,2,2,1
13,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
14,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
15,2,2,2,2,2,2,2,2,2,2,2,,2,2,1,1,1,1,1,1,1,1,1
16,2,2,2,1,1,2,1,2,2,2,1,,2,1,1,1,2,2,2,1,1,2,2
17,2,2,2,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,1,1,1,1,1
18,2,2,1,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
19,2,2,1,2,2,2,2,1,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
20,2,2,2,2,2,2,2,2,2,1,1,,1,1,1,1,1,1,1,1,1,1,1
21,2,2,2,2,2,2,2,1,1,1,1,,2,1,1,1,2,2,2,1,1,1,1
22,2,2,2,2,2,2,2,2,2,2,2,,2,2,1,1,1,1,1,2,1,1,1
23,2,2,2,2,2,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
24,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
25,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
26,2,2,2,2,2,2,1,2,1,2,1,,2,2,2,2,2,1,1,2,1,2,1
27,2,2,1,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
28,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
29,2,2,2,2,2,1,2,2,1,2,1,,2,1,1,1,1,1,1,1,1,1,1
30,2,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
31,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
32,2,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
33,2,2,2,2,2,2,2,1,2,1,2,,2,2,2,2,2,2,2,2,2,2,2
34,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
35,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
36,2,2,2,2,2,2,1,2,1,1,1,,2,1,1,1,1,1,1,1,1,1,1
37,2,2,2,2,2,2,2,2,2,2,1,,1,1,1,1,1,1,1,1,1,1,1
38,2,2,2,2,2,2,2,2,2,1,1,,1,1,1,1,1,1,1,2,1,1,1
39,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
40,2,2,2,2,2,2,2,2,2,1,1,,1,1,1,1,1,1,1,1,1,1,1
41,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
42,2,2,2,2,2,2,2,2,2,2,1,,2,1,1,1,1,1,1,1,1,1,1
43,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,1,2,1,1,1,1,1,1
44,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
45,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1
46,1,1,1,2,2,1,2,1,1,1,2,,1,1,1,1,1,1,1,1,2,1,1
47,2,2,2,2,2,2,2,2,2,1,1,,2,2,2,2,2,2,2,1,1,1,1
48,2,2,2,2,2,1,1,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,2,2,2,2,2,2,2,2
50,2,2,1,2,2,2,1,1,1,1,1,,2,2,2,2,2,2,1,2,1,1,1
51,2,2,1,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
52,2,2,1,1,1,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
53,2,2,2,2,2,1,1,1,1,2,2,,2,2,2,1,2,2,1,1,1,1,1
54,2,2,2,2,2,2,1,2,1,2,1,,2,2,2,1,1,2,2,1,2,1,2
55,2,2,2,2,2,2,2,1,2,1,1,,1,1,1,1,1,1,1,1,1,1,1
56,2,2,2,2,2,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
57,2,2,1,2,1,2,2,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
58,2,2,2,2,2,2,2,2,2,2,1,,2,2,1,1,1,2,1,1,1,1,1
59,2,2,2,2,2,2,2,2,2,1,1,,2,2,2,2,2,2,2,1,2,1,1
60,2,2,2,2,1,2,2,2,2,2,1,,1,1,1,1,1,1,1,1,1,1,2
