Player 1:,Child,,,,,,,,,,,,Player 1:,Child,,,,,,,,,,,,Player 1:,Child,,,,,,,,,,,
Player 2: ,Friend,,,,,,,,,,,,Player 2: ,Enemy,,,,,,,,,,,,Player 2: ,Stranger,,,,,,,,,,,
Scale Label:,Friend,,,,,,,,,,,,Scale Label:,Enemy,,,,,,,,,,,,Scale Label:,Stranger,,,,,,,,,,,
Number of Choices,12,,,,,,,,,,,,Number of Choices,12,,,,,,,,,,,,Number of Choices,12,,,,,,,,,,,
Choice #,1,2,3,4,5,6,7,8,9,10,11,12,Choice #,1,2,3,4,5,6,7,8,9,10,11,12,Choice #,1,2,3,4,5,6,7,8,9,10,11,12
ChoosePlayer1- Player1Gets,11,9,7,6,5,5,6,6,5,2,2,1,ChoosePlayer1- Player1Gets,11,9,7,6,5,5,6,6,5,2,2,1,ChoosePlayer1- Player1Gets,11,9,7,6,5,5,6,6,5,2,2,1
ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,0
ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,0
ChoosePlayer2- Player2Gets,5,5,5,5,5,7,10,12,15,10,13,10,ChoosePlayer2- Player2Gets,5,5,5,5,5,7,10,12,15,10,13,10,ChoosePlayer2- Player2Gets,5,5,5,5,5,7,10,12,15,10,13,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4004,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,1,1,1,1
7001,2,1,2,2,1,2,1,2,1,1,1,1,,2,2,1,1,1,1,1,1,1,1,2,1,,2,2,1,1,2,1,1,2,2,2,1,1
7002,1,1,1,2,2,1,2,1,1,1,1,1,,1,1,1,1,2,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
7003,1,1,1,1,1,1,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
7005,2,2,1,2,2,1,2,1,1,1,1,1,,2,1,2,2,2,2,1,1,1,1,1,1,,2,1,2,2,2,1,1,1,1,1,1,1
7006,2,2,2,2,1,1,1,1,1,1,2,2,,1,1,2,2,1,2,1,1,2,1,1,1,,2,1,2,2,1,2,2,2,1,1,1,2
7007,2,2,1,2,2,1,2,2,2,1,1,2,,1,1,1,1,2,2,2,1,1,1,1,1,,2,1,2,1,1,1,2,1,2,1,2,2
7008,2,1,1,2,2,1,1,1,2,1,1,1,,2,1,1,1,1,1,1,1,2,1,1,1,,2,1,1,2,2,1,1,1,1,1,1,1
7010,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,1,1,1,1,1
7011,2,2,1,2,2,2,2,1,2,1,2,1,,2,2,2,1,2,1,2,1,2,2,2,2,,2,2,1,2,2,2,2,2,2,2,2,2
7013,1,2,1,2,1,1,1,1,1,1,1,1,,1,2,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
7050,1,1,1,1,1,1,2,1,2,2,1,1,,2,1,1,1,1,1,1,1,1,1,1,1,,2,1,1,2,2,2,1,1,1,1,1,1
7051,1,1,1,1,1,1,1,2,1,2,1,1,,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,1,1,1,2,1,1,1,1,1
7052,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
7053,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
7055,1,1,1,1,1,2,1,1,2,2,2,1,,1,1,1,1,1,1,1,1,2,2,2,2,,1,1,1,1,1,1,2,2,2,2,2,2
7056,2,1,1,1,2,1,2,1,1,1,1,1,,1,1,2,2,1,2,1,1,1,1,1,1,,2,1,2,1,1,1,2,1,1,1,1,1
7057,1,1,2,2,1,1,1,1,2,1,2,2,,1,1,2,1,1,1,1,1,1,2,1,1,,1,1,1,1,1,1,1,1,2,2,2,2
7058,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
7059,1,2,2,1,1,2,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,2,1,1,1
7060,1,2,2,1,1,1,1,1,1,1,2,2,,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,1,2,1,1,2,1,1,1,2,2
7061,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,1,1,1,1,1,2,1,1,1,,1,1,2,1,1,1,1,1,1,1,1,1
7062,2,2,2,2,1,1,1,1,1,1,1,1,,1,1,2,2,1,2,1,1,1,1,1,1,,1,2,1,2,2,1,1,1,1,2,1,2
7063,1,1,2,1,1,1,1,1,1,1,1,2,,1,2,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,2,1,1,1
7064,1,1,1,2,1,2,1,2,1,1,2,1,,1,1,1,2,2,1,1,2,2,2,2,2,,2,2,2,1,1,1,1,1,2,1,1,1
7065,2,2,1,1,1,1,2,2,2,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,2,1,2,1,2,2,2,1,1
7066,1,1,2,2,2,2,1,1,1,2,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
7067,1,2,2,1,2,2,1,2,2,1,1,2,,1,2,2,2,1,1,1,2,1,1,2,2,,1,1,2,1,2,1,2,1,2,2,1,1
