Subject,Scale_Label,Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10,Ratio_11,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9,SwitchPoint_10,SwitchPoint_11,SwitchPoint_12,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,numSwitches,Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR,WTRLoc,Scale_Label,Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10,Ratio_11,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9,SwitchPoint_10,SwitchPoint_11,SwitchPoint_12,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,numSwitches,Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR,WTRLoc,Scale_Label,Player_1-Player_2,Scale_Length,Ratio_0,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10,Ratio_11,SwitchPoint_0,SwitchPoint_1,SwitchPoint_2,SwitchPoint_3,SwitchPoint_4,SwitchPoint_5,SwitchPoint_6,SwitchPoint_7,SwitchPoint_8,SwitchPoint_9,SwitchPoint_10,SwitchPoint_11,SwitchPoint_12,Choice_0,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,numSwitches,Num_Avgd_SPs,Max_SP_Consistency,Avgd_SPs,Avgd_SP_range,Avgd_SP_rankRange,Num_Inconsistent,Consistency,WTRerror,WTR,WTRLoc
4004,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,2,1,2,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,3,0.75,0.6764511129895747,0.43659481544096934,Internal,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,0,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,4,0.6666666666666666,0.9591997745843902,0.43659481544096934,External,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,2,1,1,1,1,1,1,2,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,5,0.5833333333333334,1.2368906734291352,0.43659481544096934,Internal
7001,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,2,2,1,2,1,2,1,1,1,1,7,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,9,0.25,4.790511411665258,0.43659481544096934,Internal,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,1,1,1,1,1,1,1,1,2,1,3,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,5,0.5833333333333334,3.8032614821076356,0.43659481544096934,Internal,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,1,1,2,1,1,2,2,2,1,1,5,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,6,0.5,4.3729642152719075,0.43659481544096934,Internal
7002,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,2,2,1,2,1,1,1,1,1,4,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,7,0.4166666666666667,2.449415328261482,0.43659481544096934,Internal,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,2,2,1,1,1,1,1,1,2,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,6,0.5,1.8002958579881656,0.43659481544096934,Internal,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,0,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,4,0.6666666666666666,0.9591997745843902,0.43659481544096934,External
7003,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,2,1,1,1,1,1,2,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,5,0.5833333333333334,1.1226049591434208,0.43659481544096934,Internal,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,0,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,4,0.6666666666666666,0.9591997745843902,0.43659481544096934,External,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1,1,1,1,1,1,1,1,1,1,1,1,0,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,4,0.6666666666666666,0.9591997745843902,0.43659481544096934,External
7005,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,2,1,2,2,1,2,1,1,1,1,1,5,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,9,0.25,5.576225697379543,0.43659481544096934,Internal,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,2,2,2,2,1,1,1,1,1,1,3,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,9,0.25,5.290511411665258,0.43659481544096934,Internal,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2,1,2,2,2,1,1,1,1,1,1,1,3,26,0.0,2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.1;2.2;2.0;1.6;1.2999999999999998;1.1;0.8571428571428572;0.6571428571428571;0.55;0.41666666666666663;0.26666666666666666;0.17692307692307693;0.12692307692307692;0.,2.1,12.0,8,0.3333333333333333,5.012820512820513,0.43659481544096934,Internal
