Player 1:,p1,,,,,,,,,,,,,,,Player 1:,p5,,,,,,,,,,,,,,,Player 1:,p5,,,,,,,,,,,,,,
Player 2: ,p2,,,,,,,,,,,,,,,Player 2: ,p6,,,,,,,,,,,,,,,Player 2: ,p6,,,,,,,,,,,,,,
Scale Label:,brokenScale,,,,,,,,,,,,,,,Scale Label:,perfect,,,,,,,,,,,,,,,Scale Label:,perfect,,,,,,,,,,,,,,
Number of Choices,15,,,,,,,,,,,,,,,Number of Choices,15,,,,,,,,,,,,,,,Number of Choices,15,,,,,,,,,,,,,,
Choice #,1,2,3,4,5,6,7,9,8,10,11,12,13,14,15,Choice #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Choice #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ChoosePlayer1- Player1Gets,0.96,1.91,2.87,3.83,4.79,5.74,6.7,8.61,7.66,9.57,10.53,11.48,12.44,13.4,14.36,ChoosePlayer1- Player1Gets,0.96,1.91,2.87,3.83,4.79,5.74,6.7,7.66,8.61,9.57,10.53,11.48,12.44,13.4,14.36,ChoosePlayer1- Player1Gets,0.96,1.91,2.87,3.83,4.79,5.74,6.7,7.66,8.61,9.57,10.53,11.48,12.44,13.4,14.36
ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChoosePlayer2- Player2Gets,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,ChoosePlayer2- Player2Gets,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,ChoosePlayer2- Player2Gets,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1
1001,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2
1002,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
1003,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1004,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1006,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1008,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1009,2,2,2,2,2,1,2,1,2,1,1,2,1,1,1,,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1
1010,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
